#timeI (float32)[1],PositionR (float32)[1],PositionZ (float32)[1]
0.05730761,0.08500000,0.08500000
0.05740762,0.08500000,0.08500000
0.05750763,0.08500000,0.08500000
0.05760764,0.08500000,0.08500000
0.05770766,0.08500000,0.08500000
0.05780767,0.08500000,0.08500000
0.05790768,0.08500000,0.08500000
0.05800770,0.08500000,0.08500000
0.05810771,0.08500000,0.08500000
0.05820772,0.08500000,0.08500000
0.05830774,0.08500000,0.08500000
0.05840775,0.08500000,0.08500000
0.05850776,0.08500000,0.08500000
0.05860777,0.08500000,0.08500000
0.05870779,0.08500000,0.08500000
0.05880780,0.08500000,0.08500000
0.05890781,0.08500000,0.08500000
0.05900783,0.08500000,0.08500000
0.05910784,0.08500000,0.08500000
0.05920785,0.08500000,0.08500000
0.05930787,0.08500000,0.08500000
0.05940788,0.08500000,0.08500000
0.05950789,0.08500000,0.08500000
0.05960791,0.08500000,0.08500000
0.05970792,0.08500000,0.08500000
0.05980793,0.08500000,0.08500000
0.05990794,0.08500000,0.08500000
0.06000796,0.08500000,0.08500000
0.06010797,0.08500000,0.08500000
0.06020798,0.08500000,0.08500000
0.06030799,0.08500000,0.08500000
0.06040801,0.08500000,0.08500000
0.06050802,0.08500000,0.08500000
0.06060804,0.08500000,0.08500000
0.06070805,0.08500000,0.08500000
0.06080806,0.08500000,0.08500000
0.06090807,0.08500000,0.08500000
0.06100809,0.08500000,0.08500000
0.06110810,0.08500000,0.08500000
0.06120811,0.08500000,0.08500000
0.06130813,0.08500000,0.08500000
0.06140814,0.08500000,0.08500000
0.06150815,0.08500000,0.08500000
0.06160817,0.08500000,0.08500000
0.06170818,0.08500000,0.08500000
0.06180819,0.08500000,0.08500000
0.06190821,0.08500000,0.08500000
0.06200822,0.08500000,0.08500000
0.06210823,0.08500000,0.08500000
0.06220824,0.08500000,0.08500000
0.06230826,0.08500000,0.08500000
0.06240827,0.08500000,0.08500000
0.06250828,0.08500000,0.08500000
0.06260830,0.08500000,0.08500000
0.06270831,0.08500000,0.08500000
0.06280832,0.08500000,0.08500000
0.06290834,0.08500000,0.08500000
0.06300835,0.08500000,0.08500000
0.06310836,0.08500000,0.08500000
0.06320837,0.08500000,0.08500000
0.06330839,0.08500000,0.08500000
0.06340840,0.08500000,0.08500000
0.06350842,0.08500000,0.08500000
0.06360843,0.08500000,0.08500000
0.06370844,0.08500000,0.08500000
0.06380845,0.08500000,0.08500000
0.06390847,0.08500000,0.08500000
0.06400848,0.08500000,0.08500000
0.06410849,0.08500000,0.08500000
0.06420850,0.08500000,0.08500000
0.06430852,0.08500000,0.08500000
0.06440853,0.08500000,0.08500000
0.06450854,0.08500000,0.08500000
0.06460856,0.08500000,0.08500000
0.06470857,0.08500000,0.08500000
0.06480859,0.08500000,0.08500000
0.06490860,0.08500000,0.08500000
0.06500861,0.08500000,0.08500000
0.06510862,0.08500000,0.08500000
0.06520863,0.08500000,0.08500000
0.06530865,0.08500000,0.08500000
0.06540866,0.08500000,0.08500000
0.06550867,0.08500000,0.08500000
0.06560869,0.08500000,0.08500000
0.06570870,0.08500000,0.08500000
0.06580872,0.08500000,0.08500000
0.06590873,0.08500000,0.08500000
0.06600874,0.08500000,0.08500000
0.06610875,0.08500000,0.08500000
0.06620876,0.08500000,0.08500000
0.06630878,0.08500000,0.08500000
0.06640879,0.08500000,0.08500000
0.06650880,0.08500000,0.08500000
0.06660882,0.08500000,0.08500000
0.06670883,0.08500000,0.08500000
0.06680885,0.08500000,0.08500000
0.06690886,0.08500000,0.08500000
0.06700887,0.08500000,0.08500000
0.06710889,0.08500000,0.08500000
0.06720889,0.08500000,0.08500000
0.06730891,0.08500000,0.08500000
0.06740892,0.08500000,0.08500000
0.06750893,0.08500000,0.08500000
0.06760895,0.08500000,0.08500000
0.06770896,0.08500000,0.08500000
0.06780898,0.08500000,0.08500000
0.06790899,0.08500000,0.08500000
0.06800900,0.08500000,0.08500000
0.06810902,0.08500000,0.08500000
0.06820903,0.08500000,0.08500000
0.06830904,0.08500000,0.08500000
0.06840905,0.08500000,0.08500000
0.06850906,0.08500000,0.08500000
0.06860908,0.08500000,0.08500000
0.06870909,0.08500000,0.08500000
0.06880910,0.08500000,0.08500000
0.06890912,0.08500000,0.08500000
0.06900913,0.08500000,0.08500000
0.06910915,0.08500000,0.08500000
0.06920916,0.08500000,0.08500000
0.06930917,0.08500000,0.08500000
0.06940918,0.08500000,0.08500000
0.06950919,0.08500000,0.08500000
0.06960921,0.08500000,0.08500000
0.06970922,0.08500000,0.08500000
0.06980923,0.08500000,0.08500000
0.06990925,0.08500000,0.08500000
0.07000926,0.08500000,0.08500000
0.07010928,0.08500000,0.08500000
0.07020929,0.08500000,0.08500000
0.07030930,0.08500000,0.08500000
0.07040932,0.08500000,0.08500000
0.07050932,0.08500000,0.08500000
0.07060934,0.08500000,0.08500000
0.07070935,0.08500000,0.08500000
0.07080936,0.08500000,0.08500000
0.07090938,0.08500000,0.08500000
0.07100939,0.08500000,0.08500000
0.07110941,0.08500000,0.08500000
0.07120942,0.08500000,0.08500000
0.07130943,0.08500000,0.08500000
0.07140945,0.08500000,0.08500000
0.07150946,0.08500000,0.08500000
0.07160947,0.08500000,0.08500000
0.07170948,0.08500000,0.08500000
0.07180949,0.08500000,0.08500000
0.07190951,0.08500000,0.08500000
0.07200952,0.08500000,0.08500000
0.07210954,0.08500000,0.08500000
0.07220955,0.08500000,0.08500000
0.07230956,0.08500000,0.08500000
0.07240958,0.08500000,0.08500000
0.07250959,0.08500000,0.08500000
0.07260960,0.08500000,0.08500000
0.07270962,0.08500000,0.08500000
0.07280962,0.08500000,0.08500000
0.07290964,0.08500000,0.08500000
0.07300965,0.08500000,0.08500000
0.07310966,0.08500000,0.08500000
0.07320968,0.08500000,0.08500000
0.07330969,0.08500000,0.08500000
0.07340971,0.08500000,0.08500000
0.07350972,0.08500000,0.08500000
0.07360973,0.08500000,0.08500000
0.07370975,0.08500000,0.08500000
0.07380976,0.08500000,0.08500000
0.07390977,0.08500000,0.08500000
0.07400978,0.08500000,0.08500000
0.07410979,0.08500000,0.08500000
0.07420981,0.08500000,0.08500000
0.07430982,0.08500000,0.08500000
0.07440984,0.08500000,0.08500000
