#Time (uint32)[1],WaterHeightReference_csv (float64)[1],WaterHeight_csv (float64)[1],PumpVoltageRequest_csv (float64)[1]
334000000,3.087785,1.613107,0
335000000,2.500000,12.067775,4.689900
336000000,1.912215,8.593905,0
337000000,1.548943,5.662368,0
338000000,1.548943,3.282795,0
339000000,1.912215,1.470947,0
340000000,2.500000,12.758121,5.000000
341000000,3.087785,9.186269,0
342000000,3.451057,6.155383,0
343000000,3.451057,3.674379,0
344000000,3.087785,1.757512,0
345000000,2.500000,10.377444,3.978258
346000000,1.912215,7.156040,0
347000000,1.548943,4.480963,0
348000000,1.548943,2.364134,0
349000000,1.912215,0.826560,0
350000000,2.500000,12.417407,5.000000
351000000,3.087785,8.893573,0
352000000,3.451057,5.911363,0
353000000,3.451057,3.480034,0
354000000,3.087785,1.614549,0
355000000,2.500000,12.050886,4.682794
356000000,1.912215,8.579448,0
357000000,1.548943,5.650378,0
358000000,1.548943,3.273326,0
359000000,1.912215,1.464092,0
360000000,2.500000,12.754096,5.000000
361000000,3.087785,9.182808,0
362000000,3.451057,6.152493,0
363000000,3.451057,3.672071,0
364000000,3.087785,1.755806,0
365000000,2.500000,10.397402,3.986666
366000000,1.912215,7.172902,0
367000000,1.548943,4.494674,0
368000000,1.548943,2.374609,0
369000000,1.912215,0.833633,0
370000000,2.500000,12.420598,5.000000
371000000,3.087785,8.896311,0
372000000,3.451057,5.913643,0
373000000,3.451057,3.481844,0
374000000,3.087785,1.615874,0
375000000,2.500000,12.035369,4.676266
376000000,1.912215,8.566166,0
377000000,1.548943,5.639365,0
378000000,1.548943,3.264630,0
379000000,1.912215,1.457801,0
380000000,2.500000,12.750407,5.000000
381000000,3.087785,9.179636,0
382000000,3.451057,6.149845,0
383000000,3.451057,3.669957,0
384000000,3.087785,1.754244,0
385000000,2.500000,10.415684,3.994368
386000000,1.912215,7.188351,0
387000000,1.548943,4.507241,0
388000000,1.548943,2.384214,0
389000000,1.912215,0.840124,0
390000000,2.500000,12.423541,5.000000
391000000,3.087785,8.898837,0
392000000,3.451057,5.915745,0
393000000,3.451057,3.483515,0
394000000,3.087785,1.617097,0
395000000,2.500000,12.021048,4.670241
396000000,1.912215,8.553910,0
397000000,1.548943,5.629203,0
398000000,1.548943,3.256609,0
399000000,1.912215,1.452001,0
400000000,2.500000,12.747011,5.000000
401000000,3.087785,9.176715,0
402000000,3.451057,6.147406,0
403000000,3.451057,3.668010,0
404000000,3.087785,1.752805,0
405000000,2.500000,10.432514,4.001458
406000000,1.912215,7.202574,0
407000000,1.548943,4.518813,0
408000000,1.548943,2.393063,0
409000000,1.912215,0.846110,0
410000000,2.500000,12.426268,5.000000
411000000,3.087785,8.901176,0
412000000,3.451057,5.917692,0
413000000,3.451057,3.485061,0
414000000,3.087785,1.618229,0
415000000,2.500000,12.007788,4.664662
416000000,1.912215,8.542563,0
417000000,1.548943,5.619797,0
418000000,1.548943,3.249186,0
419000000,1.912215,1.446636,0
420000000,2.500000,12.743874,5.000000
421000000,3.087785,9.174018,0
422000000,3.451057,6.145154,0
423000000,3.451057,3.666212,0
424000000,3.087785,1.751476,0
425000000,2.500000,10.448063,4.008008
426000000,1.912215,7.215717,0
427000000,1.548943,4.529508,0
428000000,1.548943,2.401244,0
429000000,1.912215,0.851649,0
430000000,2.500000,12.428801,5.000000
431000000,3.087785,8.903350,0
432000000,3.451057,5.919502,0
433000000,3.451057,3.486499,0
434000000,3.087785,1.619282,0
435000000,2.500000,11.995460,4.659475
436000000,1.912215,8.532014,0
437000000,1.548943,5.611053,0
438000000,1.548943,3.242286,0
439000000,1.912215,1.441651,0
440000000,2.500000,12.740964,5.000000
441000000,3.087785,9.171515,0
442000000,3.451057,6.143064,0
443000000,3.451057,3.664544,0
444000000,3.087785,1.750244,0
445000000,2.500000,10.462482,4.014082
446000000,1.912215,7.227906,0
447000000,1.548943,4.539430,0
448000000,1.548943,2.408836,0
449000000,1.912215,0.856793,0
450000000,2.500000,12.431162,5.000000
451000000,3.087785,8.905377,0
452000000,3.451057,5.921189,0
453000000,3.451057,3.487839,0
454000000,3.087785,1.620263,0
455000000,2.500000,11.983971,4.654641
456000000,1.912215,8.522183,0
457000000,1.548943,5.602905,0
458000000,1.548943,3.235860,0
459000000,1.912215,1.437010,0
460000000,2.500000,12.738257,5.000000
461000000,3.087785,9.169187,0
462000000,3.451057,6.141121,0
463000000,3.451057,3.662992,0
464000000,3.087785,1.749098,0
465000000,2.500000,10.475893,4.019732
466000000,1.912215,7.239245,0
467000000,1.548943,4.548661,0
468000000,1.548943,2.415902,0
469000000,1.912215,0.861585,0
470000000,2.500000,12.433369,5.000000
471000000,3.087785,8.907270,0
472000000,3.451057,5.922766,0
473000000,3.451057,3.489092,0
474000000,3.087785,1.621181,0
475000000,2.500000,11.973223,4.650119
476000000,1.912215,8.512988,0
477000000,1.548943,5.595286,0
478000000,1.548943,3.229850,0
479000000,1.912215,1.432672,0
480000000,2.500000,12.735729,5.000000
481000000,3.087785,9.167014,0
482000000,3.451057,6.139306,0
483000000,3.451057,3.661544,0
484000000,3.087785,1.748028,0
485000000,2.500000,10.488416,4.025007
486000000,1.912215,7.249833,0
487000000,1.548943,4.557282,0
488000000,1.548943,2.422503,0
489000000,1.912215,0.866064,0
490000000,2.500000,12.435438,5.000000
491000000,3.087785,8.909047,0
492000000,3.451057,5.924244,0
493000000,3.451057,3.490267,0
494000000,3.087785,1.622041,0
495000000,2.500000,11.963151,4.645881
496000000,1.912215,8.504372,0
497000000,1.548943,5.588147,0
498000000,1.548943,3.224221,0
499000000,1.912215,1.428609,0
500000000,2.500000,12.733365,5.000000
501000000,3.087785,9.164981,0
502000000,3.451057,6.137609,0
503000000,3.451057,3.660189,0
