#timeI (float64)[1];inputMirnov0 (float64)[1];inputMirnov1 (float64)[1];inputMirnov2 (float64)[1];inputMirnov3 (float64)[1];inputMirnov4 (float64)[1];inputMirnov5 (float64)[1];inputMirnov6 (float64)[1];inputMirnov7 (float64)[1];inputMirnov8 (float64)[1];inputMirnov9 (float64)[1];inputMirnov10 (float64)[1];inputMirnov11 (float64)[1];langmuir_top (float64)[1];langmuir_outer (float64)[1];langmuir_bottom (float64)[1];langmuir_inner (float64)[1];outputMpIp (float64)[1];outputMpR (float64)[1];outputMpZ (float64)[1];outputEpR (float64)[1];outputEpZ (float64)[1];outputFusedR (float64)[1];outputFusedZ (float64)[1]
0.114624;-0.006596;-0.006962;-0.005507;-0.003119;-0.006698;-0.007460;-0.007629;-0.007495;-0.005764;-0.001401;-0.005295;-0.005826;-2.222159;39.982128;0.114087;4.512385;-2717.420690;0.460214;-0.005519;0.443325;-0.001918;0.451003;-0.000604
0.114724;-0.006574;-0.006889;-0.005441;-0.003020;-0.006567;-0.007352;-0.007545;-0.007452;-0.005725;-0.001360;-0.005311;-0.005773;-1.188379;40.886211;1.926064;-6.340399;-2688.525450;0.460276;-0.005199;0.449316;-0.001685;0.453890;-0.000299
0.114824;-0.006540;-0.006807;-0.005392;-0.002953;-0.006488;-0.007271;-0.007405;-0.007339;-0.005643;-0.001337;-0.005243;-0.005662;-1.779656;41.145611;1.403451;-1.324086;-2652.263038;0.460399;-0.005232;0.446892;-0.001664;0.452673;-0.000305
0.114924;-0.006511;-0.006739;-0.005351;-0.002886;-0.006416;-0.007165;-0.007293;-0.007243;-0.005556;-0.001287;-0.005211;-0.005600;6.437180;37.704762;0.632885;-5.909339;-2620.215603;0.460603;-0.005203;0.447475;-0.004358;0.452979;-0.001639
0.115024;-0.006495;-0.006706;-0.005312;-0.002839;-0.006331;-0.007086;-0.007238;-0.007264;-0.005606;-0.001290;-0.005230;-0.005584;5.643725;37.414841;-0.568742;-4.089734;-2609.422253;0.460561;-0.004832;0.446400;-0.004480;0.452375;-0.001504
0.115124;-0.006393;-0.006626;-0.005216;-0.002842;-0.006255;-0.006995;-0.007135;-0.007142;-0.005463;-0.001248;-0.005092;-0.005526;-0.314816;37.247002;-0.683182;3.554899;-2568.694159;0.460640;-0.005086;0.442419;-0.002729;0.450281;-0.000783
0.115224;-0.006263;-0.006534;-0.005100;-0.002829;-0.006155;-0.006880;-0.007031;-0.007042;-0.005309;-0.001180;-0.004912;-0.005442;0.551118;38.925461;3.219242;-5.932228;-2519.754196;0.460612;-0.005391;0.448109;-0.001819;0.453128;-0.000500
0.115324;-0.006193;-0.006492;-0.005030;-0.002839;-0.006085;-0.006784;-0.006894;-0.006871;-0.005159;-0.001159;-0.004831;-0.005428;-0.314816;39.371780;2.082466;-0.206383;-2484.202523;0.461019;-0.005550;0.445419;-0.001900;0.451846;-0.000688
0.115424;-0.006071;-0.006386;-0.004880;-0.002796;-0.005922;-0.006639;-0.006778;-0.006785;-0.005070;-0.001112;-0.004675;-0.005359;-8.855900;40.584850;2.257941;3.440458;-2433.799826;0.460941;-0.005509;0.444178;0.000712;0.451033;0.000708
0.115524;-0.006048;-0.006371;-0.004848;-0.002784;-0.005859;-0.006454;-0.006591;-0.006593;-0.004916;-0.001073;-0.004634;-0.005353;2.527126;34.271549;6.023037;-1.655964;-2396.837553;0.461737;-0.005546;0.443558;-0.001571;0.450936;-0.000570
0.115624;-0.005914;-0.006191;-0.004719;-0.002674;-0.005715;-0.006266;-0.006361;-0.006342;-0.004695;-0.000981;-0.004451;-0.005155;0.902069;37.189781;8.746723;-9.403592;-2316.588185;0.461985;-0.005874;0.448993;-0.000267;0.453875;-0.000002
0.115724;-0.005800;-0.006011;-0.004560;-0.002533;-0.005478;-0.005995;-0.006128;-0.006129;-0.004514;-0.000910;-0.004334;-0.005005;2.092251;35.644829;4.321687;-2.876663;-2236.023650;0.462340;-0.005635;0.444880;-0.001950;0.451467;-0.000860
0.115824;-0.005645;-0.005803;-0.004403;-0.002410;-0.005261;-0.005702;-0.005834;-0.005874;-0.004269;-0.000807;-0.004127;-0.004807;1.005066;34.065552;5.569089;-0.675589;-2140.359262;0.462790;-0.005791;0.442954;-0.001251;0.450195;-0.000511
0.115924;-0.005495;-0.005592;-0.004223;-0.002250;-0.005018;-0.005416;-0.005534;-0.005534;-0.003969;-0.000663;-0.003909;-0.004597;4.194144;32.150581;5.355467;-3.532789;-2033.690150;0.463465;-0.006066;0.443434;-0.002270;0.450370;-0.001234
0.116024;-0.005352;-0.005410;-0.004059;-0.002142;-0.004796;-0.005097;-0.005129;-0.005133;-0.003615;-0.000539;-0.003690;-0.004416;-0.112638;35.194698;6.915674;-4.070660;-1923.703473;0.464770;-0.006488;0.445259;-0.000512;0.451623;-0.000322
0.116124;-0.005086;-0.005138;-0.003766;-0.002013;-0.004433;-0.004650;-0.004603;-0.004643;-0.003128;-0.000373;-0.003274;-0.004147;-0.497921;32.867741;12.508000;-5.035776;-1762.966243;0.466334;-0.007260;0.444565;0.001279;0.451171;0.000592
0.116224;-0.004820;-0.004884;-0.003501;-0.001900;-0.004118;-0.004246;-0.004098;-0.004098;-0.002595;-0.000192;-0.002869;-0.003895;1.146209;31.593630;12.904730;-6.023780;-1605.711478;0.468390;-0.008532;0.444419;0.000905;0.451121;-0.000008
0.116324;-0.004523;-0.004587;-0.003178;-0.001750;-0.003680;-0.003647;-0.003421;-0.003445;-0.001958;0.000022;-0.002410;-0.003607;-0.013456;28.408369;16.074739;-6.012336;-1409.731507;0.472018;-0.009923;0.442791;0.002203;0.450042;0.000668
0.116424;-0.004190;-0.004273;-0.002852;-0.001569;-0.003107;-0.002895;-0.002661;-0.002719;-0.001298;0.000238;-0.001960;-0.003330;0.970733;26.012751;15.884000;-4.673381;-1192.833898;0.477836;-0.011150;0.440888;0.001851;0.448650;0.000371
0.116524;-0.003909;-0.003970;-0.002537;-0.001348;-0.002425;-0.002014;-0.001780;-0.001963;-0.000693;0.000416;-0.001597;-0.003058;2.664454;23.086880;13.423530;0.342932;-969.152471;0.487529;-0.011418;0.436841;0.000606;0.445395;-0.000401
0.116624;-0.003668;-0.003626;-0.002182;-0.001024;-0.001627;-0.001008;-0.000767;-0.001138;-0.000120;0.000604;-0.001273;-0.002743;-0.780208;20.466190;15.163030;2.273164;-723.499407;0.505309;-0.010265;0.434522;0.002159;0.443011;0.001377
0.116725;-0.003472;-0.003343;-0.001875;-0.000744;-0.000912;-0.000125;0.000127;-0.000481;0.000308;0.000742;-0.001043;-0.002487;-0.711544;21.477091;15.117250;1.697146;-518.334939;0.533303;-0.006968;0.435330;0.002125;0.443071;0.001873
