#timeI (float64)[1];inputMirnov0 (float64)[1];inputMirnov1 (float64)[1];inputMirnov2 (float64)[1];inputMirnov3 (float64)[1];inputMirnov4 (float64)[1];inputMirnov5 (float64)[1];inputMirnov6 (float64)[1];inputMirnov7 (float64)[1];inputMirnov8 (float64)[1];inputMirnov9 (float64)[1];inputMirnov10 (float64)[1];inputMirnov11 (float64)[1];langmuir_top (float64)[1];langmuir_outer (float64)[1];langmuir_bottom (float64)[1];langmuir_inner (float64)[1];rogowski_coil (float64)[1];outputFusedR (float64)[1];outputFusedZ (float64)[1];vertical_current_request (float64)[1]
0.752468;-0.006663;-0.007111;-0.006557;-0.006910;-0.007212;-0.007585;-0.007139;-0.006269;-0.005396;-0.005273;-0.005205;-0.006104;17.446369;-16.212021;-19.733730;11.062200;-2991.798096;0.441396;-0.010079;0.417953
0.752568;-0.006562;-0.007002;-0.006489;-0.006893;-0.007165;-0.007486;-0.007046;-0.006154;-0.005292;-0.005137;-0.005095;-0.006001;19.761881;-6.660045;-24.872110;9.711803;-2949.699951;0.443439;-0.011304;0.441801
0.752668;-0.006557;-0.006981;-0.006443;-0.006804;-0.007069;-0.007418;-0.006958;-0.006089;-0.005235;-0.005099;-0.005052;-0.005964;15.191890;-4.581040;-10.597550;5.961966;-2924.461914;0.444648;-0.008793;0.351944
0.752768;-0.006623;-0.007027;-0.006433;-0.006752;-0.006996;-0.007300;-0.006825;-0.006007;-0.005192;-0.005094;-0.005084;-0.005998;14.085630;-2.471519;-9.006829;4.775599;-2912.705078;0.445607;-0.008288;0.320898
0.752868;-0.006541;-0.006971;-0.006399;-0.006719;-0.006956;-0.007258;-0.006750;-0.005944;-0.005134;-0.005031;-0.005046;-0.005960;13.067110;-2.734732;-13.099990;4.512385;-2888.616943;0.445442;-0.008760;0.318022
0.752968;-0.006517;-0.006939;-0.006379;-0.006694;-0.006936;-0.007246;-0.006705;-0.005901;-0.005104;-0.004994;-0.005014;-0.005941;17.186970;-24.962910;-9.254784;12.641480;-2875.658936;0.438313;-0.008846;0.302674
0.753068;-0.006500;-0.006930;-0.006342;-0.006601;-0.006812;-0.007110;-0.006567;-0.005800;-0.005023;-0.004937;-0.004992;-0.005920;15.241480;-18.889931;-7.736538;10.200080;-2844.531006;0.440152;-0.008292;0.267562
0.753168;-0.006508;-0.006964;-0.006368;-0.006594;-0.006755;-0.006997;-0.006443;-0.005692;-0.004940;-0.004857;-0.004972;-0.005941;18.960800;-14.590780;-13.691260;10.001720;-2827.883057;0.441328;-0.009658;0.289731
0.753268;-0.006472;-0.006923;-0.006322;-0.006563;-0.006717;-0.006973;-0.006419;-0.005675;-0.004931;-0.004856;-0.004966;-0.005895;19.422371;-26.477341;-18.150631;13.747740;-2814.897949;0.437457;-0.010346;0.291571
0.753368;-0.006483;-0.006930;-0.006298;-0.006508;-0.006636;-0.006853;-0.006323;-0.005600;-0.004885;-0.004817;-0.004950;-0.005886;19.960251;-24.165640;-6.817199;11.954840;-2795.003906;0.438380;-0.008772;0.225856
