#timeI (float32)[1];inputMirnov0 (float32)[1];inputMirnov1 (float32)[1];inputMirnov2 (float32)[1];inputMirnov3 (float32)[1];inputMirnov4 (float32)[1];inputMirnov5 (float32)[1];inputMirnov6 (float32)[1];inputMirnov7 (float32)[1];inputMirnov8 (float32)[1];inputMirnov9 (float32)[1];inputMirnov10 (float32)[1];inputMirnov11 (float32)[1];langmuir_top (float32)[1];langmuir_outer (float32)[1];langmuir_bottom (float32)[1];langmuir_inner (float32)[1];rogowski_coil (float32)[1];outputFusedR (float32)[1];outputFusedZ (float32)[1];vertical_reference (float32)[1];vertical_current_request (float32)[1]
0.298058;-0.000849;-0.001514;-0.000395;0.000015;-0.000058;0.001113;0.000838;0.000077;0.000633;0.000949;-0.000144;-0.000504;-27.555491;33.581089;3.432865;29.975421;-9.031968;0.478434;0.005990;0.004911;0
0.298158;-0.000845;-0.001493;-0.000380;0.000023;-0.000047;0.001122;0.000847;0.000072;0.000629;0.000949;-0.000133;-0.000491;-31.602880;33.779449;-2.212872;34.778110;-5.360361;0.481561;0.005706;0.004990;0
0.298258;-0.000827;-0.001493;-0.000359;-0.000011;-0.000043;0.001094;0.000866;0.000068;0.000659;0.000955;-0.000074;-0.000495;-36.005020;57.235960;-3.292428;34.896371;-2.342299;0.466961;0.006059;0.004961;0
0.298358;-0.000802;-0.001485;-0.000331;-0.000053;-0.000043;0.001090;0.000902;0.000072;0.000681;0.000955;-0.000011;-0.000500;-42.055120;49.183158;2.818700;34.160130;2.521945;0.471697;0.007506;0.004843;0
0.298458;-0.000781;-0.001482;-0.000313;-0.000102;-0.000062;0.001054;0.000902;0.000063;0.000694;0.000949;0.000041;-0.000508;-38.713453;44.094362;-18.627470;41.907763;1.589540;0.479655;0.004497;0.004755;0.007748
0.298558;-0.000748;-0.001475;-0.000285;-0.000140;-0.000062;0.001049;0.000893;0.000054;0.000711;0.000949;0.000096;-0.000512;-33.128750;36.545102;-11.440600;44.398751;4.509042;0.485993;0.004723;0.004382;0
0.298658;-0.000745;-0.001457;-0.000278;-0.000148;-0.000047;0.001058;0.000907;0.000072;0.000725;0.000949;0.000118;-0.000500;-36.363608;35.850830;-6.275513;44.696302;9.293653;0.486565;0.005821;0.003853;0
0.298758;-0.000773;-0.001439;-0.000299;-0.000129;-0.000081;0.001026;0.000880;0.000059;0.000703;0.000955;0.000081;-0.000483;-32.995240;36.003410;-12.768110;49.476103;3.461146;0.489208;0.004714;0.003423;0
0.298858;-0.000795;-0.001414;-0.000313;-0.000091;-0.000089;0.001013;0.000889;0.000081;0.000694;0.000955;0.000055;-0.000459;-38.278579;36.049191;-9.243340;54.900584;4.397499;0.492502;0.005869;0.002939;0
0.298958;-0.000823;-0.001393;-0.000328;-0.000057;-0.000101;0.000995;0.000880;0.000081;0.000681;0.000961;0.000022;-0.000438;-38.343429;42.194647;-12.920700;51.734390;2.732062;0.486507;0.005477;0.002409;0
0.299058;-0.000845;-0.001372;-0.000338;-0.000023;-0.000097;0.000990;0.000884;0.000090;0.000672;0.000967;-0.000007;-0.000418;-34.414298;44.334692;-18.051451;49.041228;2.985774;0.483318;0.004403;0.001841;0
0.299158;-0.000849;-0.001357;-0.000335;-0.000023;-0.000105;0.000976;0.000861;0.000081;0.000664;0.000973;-0.000007;-0.000414;-38.389210;38.566880;-11.162130;49.884271;1.548208;0.487388;0.005794;0.001243;0
0.299258;-0.000820;-0.001365;-0.000317;-0.000068;-0.000101;0.000967;0.000820;0.000054;0.000659;0.000961;0.000033;-0.000426;-36.256790;37.815392;-19.531549;50.979080;-0.898508;0.488523;0.004505;0.000314;0
0.299358;-0.000784;-0.001361;-0.000285;-0.000099;-0.000089;0.000981;0.000802;0.000050;0.000664;0.000961;0.000078;-0.000442;-38.534162;37.895500;-10.635700;49.319691;1.393843;0.487317;0.005963;-0.000314;0
0.299458;-0.000759;-0.001357;-0.000257;-0.000133;-0.000078;0.000976;0.000774;0.000027;0.000668;0.000961;0.000122;-0.000463;-32.373440;37.937462;-19.260710;50.425963;2.147383;0.487896;0.004172;-0.000937;0
0.299558;-0.000734;-0.001357;-0.000229;-0.000163;-0.000066;0.000981;0.000756;0.000005;0.000677;0.000949;0.000174;-0.000471;-33.224122;37.861161;-18.585510;51.280450;3.820244;0.488370;0.004432;-0.001545;0
0.299658;-0.000738;-0.001354;-0.000225;-0.000171;-0.000062;0.000985;0.000742;-0.000009;0.000677;0.000949;0.000189;-0.000471;-33.662812;38.002311;-15.610050;47.496280;3.858276;0.485817;0.004901;-0.002129;0
0.299758;-0.000770;-0.001333;-0.000243;-0.000140;-0.000070;0.000976;0.000733;-0.000014;0.000659;0.000955;0.000155;-0.000455;-35.947799;41.240978;-13.618780;49.529500;1.791681;0.485038;0.005432;-0.002679;0
0.299858;-0.000806;-0.001322;-0.000271;-0.000114;-0.000089;0.000949;0.000728;-0.000014;0.000659;0.000961;0.000126;-0.000434;-41.227331;53.901920;-13.973549;45.520272;-1.829415;0.474544;0.006010;-0.003187;0
0.299958;-0.000841;-0.001311;-0.000296;-0.000083;-0.000105;0.000917;0.000733;-0.000014;0.000646;0.000961;0.000092;-0.000410;-40.048599;54.069771;-22.854139;42.846169;-4.810955;0.472771;0.004703;-0.003853;0
0.300058;-0.000884;-0.001304;-0.000324;-0.000057;-0.000124;0.000876;0.000747;-0.000005;0.000642;0.000961;0.000059;-0.000385;-32.732028;44.224061;-20.893390;45.089211;-8.993086;0.480516;0.003964;-0.004045;0
0.300158;-0.000899;-0.001304;-0.000335;-0.000061;-0.000132;0.000840;0.000770;0;0.000642;0.000961;0.000063;-0.000381;-43.859472;64.934000;-21.034541;41.114301;-10.756039;0.464960;0.005305;-0.004524;0
0.300258;-0.000881;-0.001311;-0.000324;-0.000106;-0.000140;0.000813;0.000765;-0.000014;0.000646;0.000955;0.000104;-0.000393;-39.369581;62.122569;-22.064502;39.027671;-12.898529;0.465412;0.004572;-0.004649;0
0.300358;-0.000856;-0.001318;-0.000306;-0.000144;-0.000140;0.000804;0.000756;-0.000023;0.000655;0.000943;0.000148;-0.000405;-39.625160;65.021743;-22.537519;35.861480;-13.061059;0.461567;0.004547;-0.004911;0
0.300459;-0.000838;-0.001329;-0.000285;-0.000186;-0.000136;0.000795;0.000733;-0.000023;0.000659;0.000943;0.000196;-0.000422;-35.444271;66.166138;-25.383279;33.252239;-13.355630;0.459175;0.003667;-0.005000;0
0.300559;-0.000816;-0.001343;-0.000268;-0.000224;-0.000132;0.000795;0.000710;-0.000032;0.000668;0.000937;0.000240;-0.000438;-36.718368;63.064799;-25.196359;35.796630;-13.488140;0.462753;0.003841;-0.004961;0
0.300659;-0.000816;-0.001343;-0.000268;-0.000228;-0.000136;0.000790;0.000696;-0.000041;0.000672;0.000937;0.000244;-0.000442;-29.634502;52.276873;-22.545151;35.926330;-14.312950;0.469733;0.003256;-0.004843;0
0.300759;-0.000845;-0.001329;-0.000285;-0.000194;-0.000140;0.000786;0.000683;-0.000045;0.000664;0.000943;0.000203;-0.000430;-24.854700;40.611548;-18.833459;36.860930;-16.890480;0.477841;0.003061;-0.004649;0
0.300859;-0.000877;-0.001318;-0.000303;-0.000156;-0.000140;0.000781;0.000669;-0.000050;0.000655;0.000943;0.000163;-0.000414;-25.793111;41.820807;-15.976261;35.480010;-18.815259;0.476179;0.003573;-0.004382;0
0.300959;-0.000906;-0.001308;-0.000321;-0.000118;-0.000132;0.000790;0.000655;-0.000045;0.000646;0.000943;0.000122;-0.000401;-23.256340;38.582141;-18.329919;36.860930;-20.222191;0.479058;0.002991;-0.004045;0
