#timeI (float64)[1];PositionZ (float64)[1];vertical_reference (float64)[1];vertical_current_request (float64)[1]
0.005801;0.085000;-0.004000;26.699918
0.005901;0.085000;-0.004000;26.699917
0.006001;0.085000;-0.004000;26.699916
0.006101;0.085000;-0.004000;26.699914
0.006201;0.085000;-0.004000;26.699913
0.006301;0.085000;-0.004000;26.699912
0.006401;0.085000;-0.004000;26.699910
0.006501;0.085000;-0.004000;26.699909
0.006601;0.085000;-0.004000;26.699908
0.006701;0.085000;-0.004000;26.699906
0.006801;0.085000;-0.004000;26.699905
0.006901;0.085000;-0.004000;26.699904
0.007001;0.085000;-0.004000;26.699902
0.007101;0.085000;-0.004000;26.699901
0.007201;0.085000;-0.004000;26.699900
0.007301;0.085000;-0.004000;26.699898
0.007401;0.085000;-0.004000;26.699897
0.007501;0.085000;-0.004000;26.699896
0.007601;0.085000;-0.004000;26.699894
0.007701;0.085000;-0.004000;26.699893
0.007801;0.085000;-0.004000;26.699892
0.007901;0.085000;-0.004000;26.699890
0.008001;0.085000;-0.004000;26.699889
0.008101;0.085000;-0.004000;26.699888
0.008201;0.085000;-0.004000;26.699886
0.008301;0.085000;-0.004000;26.699885
0.008401;0.085000;-0.004000;26.699884
0.008501;0.085000;-0.004000;26.699882
0.008601;0.085000;-0.004000;26.699881
0.008701;0.085000;-0.004000;26.699880
0.008801;0.085000;-0.004000;26.699878
0.008901;0.085000;-0.004000;26.699877
0.009001;0.085000;-0.004000;26.699876
0.009101;0.085000;-0.004000;26.699874
0.009201;0.085000;-0.004000;26.699873
0.009301;0.085000;-0.004000;26.699872
0.009401;0.085000;-0.004000;26.699870
0.009501;0.085000;-0.004000;26.699869
0.009601;0.085000;-0.004000;26.699868
0.009701;0.085000;-0.004000;26.699866
0.009801;0.085000;-0.004000;26.699865
0.009901;0.085000;-0.004000;26.699864
0.010001;0.085000;-0.004000;26.699862
0.010101;0.085000;-0.004000;26.699861
0.010201;0.085000;-0.004000;26.699860
0.010301;0.085000;-0.004000;26.699858
0.010401;0.085000;-0.004000;26.699857
0.010501;0.085000;-0.004000;26.699856
0.010601;0.085000;-0.004000;26.699854
0.010701;0.085000;-0.004000;26.699853
0.010801;0.085000;-0.004000;26.699852
0.010901;0.085000;-0.004000;26.699850
0.011001;0.085000;-0.004000;26.699849
0.011101;0.085000;-0.004000;26.699848
0.011201;0.085000;-0.004000;26.699846
0.011301;0.085000;-0.004000;26.699845
