#timeI (float64)[1];inputMirnov0 (float64)[1];inputMirnov1 (float64)[1];inputMirnov2 (float64)[1];inputMirnov3 (float64)[1];inputMirnov4 (float64)[1];inputMirnov5 (float64)[1];inputMirnov6 (float64)[1];inputMirnov7 (float64)[1];inputMirnov8 (float64)[1];inputMirnov9 (float64)[1];inputMirnov10 (float64)[1];inputMirnov11 (float64)[1];langmuir_top (float64)[1];langmuir_outer (float64)[1];langmuir_bottom (float64)[1];langmuir_inner (float64)[1];rogowski_coil (float64)[1];outputFusedR (float64)[1];outputFusedZ (float64)[1];vertical_reference (float64)[1];vertical_current_request (float64)[1]
0.796072;0.000035;-0.000076;0.000048;-0.000150;-0.000108;0.000189;-0.000086;0.000009;0.000048;0.000026;0.000003;-0.000030;3.557091;32.524422;-1.942029;4.775599;-3809.062012;0.454848;0.001521;-0.000937;0.737206
0.796172;0.000037;-0.000077;0.000053;-0.000137;-0.000095;0.000193;-0.000090;0.000002;0.000044;0.000025;0.000001;-0.000017;3.557091;32.528229;-1.938214;4.771784;-3804.708008;0.454840;0.001596;-0.001545;0.942242
0.796272;0.000040;-0.000077;0.000057;-0.000122;-0.000081;0.000198;-0.000097;-0.000006;0.000040;0.000025;-0.000001;-0.000005;3.557091;32.524422;-1.942029;4.771784;-3802.187012;0.454833;0.001672;-0.002129;1.140090
0.796372;0.000042;-0.000078;0.000062;-0.000109;-0.000068;0.000201;-0.000101;-0.000013;0.000036;0.000024;-0.000003;0.000009;3.557091;32.524422;-1.945844;4.767969;-3805.624023;0.454827;0.001737;-0.002679;1.324606
0.796472;0.000041;-0.000079;0.000062;-0.000109;-0.000070;0.000203;-0.000105;-0.000014;0.000035;0.000025;-0.000001;0.000006;3.557091;32.524422;-1.942029;4.771784;-3792.562012;0.454828;0.001727;-0.003187;1.473880
0.796572;0.000038;-0.000077;0.000061;-0.000119;-0.000078;0.000206;-0.000110;-0.000013;0.000036;0.000026;-0.000001;-0.000007;3.557091;32.524422;-1.942029;4.771784;-3772.166016;0.454836;0.001650;-0.003645;1.588107
0.796672;0.000033;-0.000077;0.000056;-0.000133;-0.000091;0.000198;-0.000106;-0.000006;0.000039;0.000027;0.000001;-0.000018;3.553276;32.520599;-1.945844;4.764154;-3755.895996;0.454843;0.001559;-0.004045;1.681160
0.796772;0.000028;-0.000078;0.000049;-0.000148;-0.000108;0.000186;-0.000097;0.000004;0.000044;0.000028;0.000005;-0.000029;3.557091;32.524422;-1.942029;4.771784;-3762.083008;0.454853;0.001467;-0.004382;1.754481
0.796872;0.000025;-0.000079;0.000043;-0.000164;-0.000125;0.000173;-0.000087;0.000015;0.000050;0.000029;0.000009;-0.000041;3.557091;32.524422;-1.942029;4.771784;-3765.979004;0.454861;0.001379;-0.004649;1.808026
0.796972;0.000022;-0.000081;0.000040;-0.000167;-0.000129;0.000158;-0.000076;0.000021;0.000054;0.000028;0.000010;-0.000036;3.557091;32.524422;-1.942029;4.771784;-3768.041016;0.454862;0.001373;-0.004843;1.864532
0.797072;0.000024;-0.000084;0.000039;-0.000161;-0.000127;0.000144;-0.000063;0.000023;0.000057;0.000027;0.000011;-0.000021;3.557091;32.524422;-1.938214;4.771784;-3774.458008;0.454856;0.001430;-0.004961;1.917055
0.797172;0.000025;-0.000087;0.000038;-0.000154;-0.000123;0.000132;-0.000053;0.000024;0.000060;0.000027;0.000011;-0.000007;3.557091;32.524422;-1.942029;4.771784;-3770.333008;0.454851;0.001490;-0.005000;1.946688
0.797272;0.000028;-0.000089;0.000039;-0.000145;-0.000118;0.000123;-0.000046;0.000024;0.000061;0.000026;0.000010;0.000006;3.557091;32.524422;-1.942029;4.775599;-3768.729004;0.454846;0.001550;-0.004961;1.953021
