#timeI (float64)[1];inputMirnov0 (float64)[1];inputMirnov1 (float64)[1];inputMirnov2 (float64)[1];inputMirnov3 (float64)[1];inputMirnov4 (float64)[1];inputMirnov5 (float64)[1];inputMirnov6 (float64)[1];inputMirnov7 (float64)[1];inputMirnov8 (float64)[1];inputMirnov9 (float64)[1];inputMirnov10 (float64)[1];inputMirnov11 (float64)[1];langmuir_top (float64)[1];langmuir_outer (float64)[1];langmuir_bottom (float64)[1];langmuir_inner (float64)[1];rogowski_coil (float64)[1];outputMpIp (float64)[1];outputMpR (float64)[1];outputMpZ (float64)[1];outputEpR (float64)[1];outputEpZ (float64)[1]
0.067706;0.004037;0.002989;0.002953;0.004010;0.004587;0.005209;0.005698;0.006783;0.006649;0.006043;0.005190;0.004688;-8.958897;-10.181000;4.962554;19.351521;2220.416016;2292.114521;0.450224;0.008492;0.410204;0.001554
0.067806;0.004033;0.002935;0.002884;0.003954;0.004513;0.005113;0.005617;0.006776;0.006697;0.006075;0.005200;0.004686;-23.073240;-10.619690;9.376147;23.097540;2205.476074;2278.385021;0.450161;0.009098;0.408071;0.007106
0.067906;0.004078;0.002985;0.002917;0.003999;0.004559;0.005150;0.005657;0.006809;0.006721;0.006052;0.005242;0.004732;-26.186020;-7.384835;10.345080;23.131870;2221.927002;2294.733445;0.450341;0.008918;0.409702;0.008329
0.068006;0.004020;0.002913;0.002869;0.003979;0.004534;0.005116;0.005625;0.006769;0.006660;0.005994;0.005151;0.004659;-20.486879;-11.695430;7.567985;24.920959;2197.229004;2270.820777;0.450068;0.008793;0.406594;0.005789
0.068106;0.004041;0.002904;0.002855;0.003979;0.004519;0.005082;0.005560;0.006729;0.006697;0.006047;0.005230;0.004709;-20.250370;-10.127590;8.639913;23.143311;2199.037109;2273.293265;0.450317;0.009188;0.408299;0.006039
0.068206;0.004063;0.002928;0.002879;0.004011;0.004544;0.005122;0.005577;0.006755;0.006704;0.006029;0.005229;0.004717;-17.446581;-10.070370;8.437734;20.995649;2207.025879;2281.353163;0.450363;0.008985;0.409422;0.005138
0.068306;0.004136;0.002992;0.002918;0.004052;0.004577;0.005167;0.005595;0.006811;0.006770;0.006046;0.005304;0.004795;-19.208960;-8.231696;7.426842;21.869209;2230.990967;2304.792283;0.450630;0.009009;0.409914;0.005364
0.068406;0.004067;0.002900;0.002862;0.004027;0.004561;0.005179;0.005586;0.006838;0.006775;0.005978;0.005193;0.004686;-24.595301;-11.558100;8.655171;24.066469;2210.385986;2284.959509;0.450012;0.008831;0.407099;0.007346
0.068506;0.004152;0.002969;0.002915;0.004084;0.004615;0.005237;0.005605;0.006872;0.006821;0.006035;0.005272;0.004771;-23.836170;-8.636052;8.533101;23.582001;2238.393066;2312.093160;0.450378;0.008798;0.408835;0.007082
0.068606;0.004120;0.002962;0.002922;0.004100;0.004634;0.005280;0.005630;0.006909;0.006769;0.005979;0.005210;0.004722;-20.551729;-10.234410;8.823017;22.182011;2234.633057;2307.811233;0.450160;0.008411;0.408734;0.006184
0.068706;0.004168;0.003033;0.002977;0.004172;0.004711;0.005363;0.005715;0.006981;0.006810;0.005968;0.005211;0.004752;-19.773529;-8.185920;9.440996;21.518259;2259.371094;2332.130623;0.450204;0.007993;0.410116;0.006136
0.068806;0.004128;0.002971;0.002931;0.004149;0.004675;0.005307;0.005636;0.006924;0.006729;0.005914;0.005171;0.004720;-27.650860;-8.899266;9.421923;24.615780;2235.905029;2308.485560;0.450192;0.008025;0.408174;0.008491
0.068906;0.004062;0.002896;0.002876;0.004117;0.004635;0.005254;0.005594;0.006908;0.006742;0.005860;0.005122;0.004669;-22.893950;-6.877482;8.224112;23.128059;2214.549072;2288.191576;0.449876;0.008144;0.409962;0.006707
0.069006;0.004103;0.002931;0.002890;0.004135;0.004635;0.005238;0.005630;0.006941;0.006746;0.005883;0.005167;0.004723;-22.623100;-4.771775;7.773978;21.735689;2224.928955;2299.334627;0.450059;0.008250;0.411745;0.006491
0.069106;0.004108;0.002933;0.002906;0.004166;0.004662;0.005239;0.005662;0.006963;0.006790;0.005890;0.005179;0.004745;-23.096121;-5.328719;7.236107;21.903540;2232.758057;2308.039037;0.450037;0.008211;0.411376;0.006471
0.069206;0.004166;0.002953;0.002899;0.004148;0.004623;0.005167;0.005601;0.006949;0.006825;0.005988;0.005277;0.004819;-24.202379;-6.953776;7.815940;22.529150;2238.836914;2314.744977;0.450434;0.008814;0.410229;0.006977
0.069306;0.004034;0.002851;0.002850;0.004115;0.004599;0.005162;0.005647;0.006944;0.006720;0.005811;0.005099;0.004660;-19.170811;-13.003870;6.435023;23.002171;2202.688965;2278.715944;0.449679;0.008224;0.406905;0.005055
0.069406;0.004139;0.002899;0.002874;0.004137;0.004615;0.005178;0.005674;0.007024;0.006891;0.005960;0.005240;0.004770;-17.671640;-14.594590;9.215930;20.999460;2237.187988;2314.190856;0.449908;0.008794;0.407115;0.005439
0.069506;0.004107;0.002855;0.002846;0.004118;0.004595;0.005160;0.005673;0.007013;0.006833;0.005868;0.005183;0.004724;-16.958290;-9.826235;7.281884;20.789650;2221.549072;2297.554775;0.449723;0.008625;0.409651;0.004646
