#Idle_Thread_Histogram (uint32)[18]
{ 42 0 1 2 3 3 2 2 4 3 2 4 3 4 2 4 3 51 } 
{ 42 0 1 2 3 3 2 2 4 3 2 4 4 4 2 4 3 51 } 
{ 42 0 1 2 3 3 2 2 4 3 2 4 4 4 2 5 3 51 } 
{ 43 0 1 2 3 3 2 2 4 3 2 4 4 4 2 5 3 51 } 
{ 43 0 1 2 3 3 2 2 5 3 2 4 4 4 2 5 3 51 } 
{ 44 0 1 2 3 3 2 2 5 3 2 4 4 4 2 5 3 51 } 
{ 44 0 1 2 3 3 2 2 5 4 2 4 4 4 2 5 3 51 } 
{ 45 0 1 2 3 3 2 2 5 4 2 4 4 4 2 5 3 51 } 
{ 45 0 1 3 3 3 2 2 5 4 2 4 4 4 2 5 3 51 } 
{ 46 0 1 3 3 3 2 2 5 4 2 4 4 4 2 5 3 51 } 
{ 47 0 1 3 3 3 2 2 5 4 2 4 4 4 2 5 3 51 } 
{ 47 0 1 3 3 4 2 2 5 4 2 4 4 4 2 5 3 51 } 
{ 48 0 1 3 3 4 2 2 5 4 2 4 4 4 2 5 3 51 } 
{ 48 0 1 3 3 4 2 2 5 4 2 4 4 4 2 6 3 51 } 
{ 49 0 1 3 3 4 2 2 5 4 2 4 4 4 2 6 3 51 } 
{ 49 0 1 3 3 4 2 2 5 4 2 4 4 4 2 6 3 52 } 
{ 49 0 1 3 3 4 2 3 5 4 2 4 4 4 2 6 3 52 } 
{ 50 0 1 3 3 4 2 3 5 4 2 4 4 4 2 6 3 52 } 
{ 50 0 1 3 3 4 2 3 5 4 2 4 4 4 3 6 3 52 } 
{ 51 0 1 3 3 4 2 3 5 4 2 4 4 4 3 6 3 52 } 
{ 52 0 1 3 3 4 2 3 5 4 2 4 4 4 3 6 3 52 } 
{ 52 0 1 3 3 4 3 3 5 4 2 4 4 4 3 6 3 52 } 
{ 53 0 1 3 3 4 3 3 5 4 2 4 4 4 3 6 3 52 } 
{ 53 0 1 3 3 4 3 3 5 5 2 4 4 4 3 6 3 52 } 
{ 53 0 1 3 3 4 3 3 5 5 2 4 4 4 3 6 3 53 } 
{ 53 0 1 3 3 4 3 3 5 6 2 4 4 4 3 6 3 53 } 
{ 54 0 1 3 3 4 3 3 5 6 2 4 4 4 3 6 3 53 } 
{ 54 0 1 3 3 4 3 3 5 6 3 4 4 4 3 6 3 53 } 
{ 55 0 1 3 3 4 3 3 5 6 3 4 4 4 3 6 3 53 } 
{ 56 0 1 3 3 4 3 3 5 6 3 4 4 4 3 6 3 53 } 
{ 56 0 1 3 3 4 3 3 5 6 3 4 4 4 3 6 3 54 } 
{ 56 0 1 3 3 4 3 3 5 6 3 4 4 4 3 6 3 55 } 
{ 56 0 1 3 3 4 3 3 5 6 3 4 4 4 3 6 3 56 } 
{ 57 0 1 3 3 4 3 3 5 6 3 4 4 4 3 6 3 56 } 
{ 57 0 1 3 3 4 3 3 5 6 3 4 4 4 3 6 3 57 } 
{ 57 0 1 3 3 4 3 3 5 6 3 4 4 4 4 6 3 57 } 
