#timeI (float64)[1];inputMirnov0 (float64)[1];inputMirnov1 (float64)[1];inputMirnov2 (float64)[1];inputMirnov3 (float64)[1];inputMirnov4 (float64)[1];inputMirnov5 (float64)[1];inputMirnov6 (float64)[1];inputMirnov7 (float64)[1];inputMirnov8 (float64)[1];inputMirnov9 (float64)[1];inputMirnov10 (float64)[1];inputMirnov11 (float64)[1];langmuir_top (float64)[1];langmuir_outer (float64)[1];langmuir_bottom (float64)[1];langmuir_inner (float64)[1];outputMpIp (float64)[1];outputMpR (float64)[1];outputMpZ (float64)[1];outputEpR (float64)[1];outputEpZ (float64)[1]
0.051709;-0.000083;-0.000074;0.000098;0.000059;0.000116;0.000101;0.000066;-0.000028;0.000057;0.000050;-0.000109;0.000102;3.530388;32.093361;-1.934399;4.779413;13.812946;0.407400;-0.074288;0.439169;-0.004256
0.051809;-0.000060;-0.000086;0.000114;0.000022;0.000113;0.000090;0.000076;-0.000029;0.000071;0.000044;-0.000064;0.000092;3.530388;32.093361;-1.934399;4.779413;14.897149;0.413484;-0.048788;0.439169;-0.004256
0.051909;-0.000036;-0.000097;0.000131;-0.000014;0.000112;0.000080;0.000083;-0.000029;0.000085;0.000038;-0.000020;0.000081;3.526573;32.093361;-1.930585;4.779413;16.087101;0.419609;-0.027810;0.439169;-0.004254
0.052009;-0.000021;-0.000105;0.000140;-0.000038;0.000110;0.000074;0.000089;-0.000028;0.000094;0.000034;0.000006;0.000073;3.530388;32.089539;-1.934399;4.779413;16.694964;0.421610;-0.015861;0.439167;-0.004256
0.052109;-0.000046;-0.000095;0.000119;-0.000006;0.000101;0.000066;0.000099;-0.000018;0.000087;0.000040;-0.000034;0.000086;3.526573;32.089539;-1.934399;4.779413;15.534320;0.411163;-0.026343;0.439167;-0.004255
0.052209;-0.000070;-0.000084;0.000099;0.000027;0.000093;0.000061;0.000105;-0.000009;0.000079;0.000047;-0.000076;0.000097;3.530388;32.089539;-1.934399;4.779413;14.343145;0.400297;-0.040120;0.439167;-0.004256
0.052309;-0.000094;-0.000074;0.000080;0.000061;0.000087;0.000059;0.000108;-0.000003;0.000070;0.000053;-0.000117;0.000109;3.530388;32.093361;-1.934399;4.779413;13.232465;0.388921;-0.058086;0.439169;-0.004256
0.052409;-0.000117;-0.000062;0.000061;0.000096;0.000083;0.000060;0.000108;0.000002;0.000059;0.000059;-0.000159;0.000120;3.530388;32.089539;-1.938214;4.775599;12.081810;0.376919;-0.081575;0.439169;-0.004257
0.052509;-0.000130;-0.000053;0.000052;0.000119;0.000083;0.000065;0.000103;0.000002;0.000051;0.000064;-0.000186;0.000127;3.526573;32.089539;-1.934399;4.779413;11.608006;0.372988;-0.099342;0.439167;-0.004255
0.052609;-0.000100;-0.000061;0.000074;0.000086;0.000094;0.000078;0.000089;-0.000010;0.000058;0.000058;-0.000147;0.000112;3.526573;32.089539;-1.934399;4.779413;12.916646;0.393045;-0.080274;0.439167;-0.004255
0.052709;-0.000071;-0.000068;0.000098;0.000054;0.000107;0.000093;0.000072;-0.000024;0.000064;0.000051;-0.000108;0.000097;3.526573;32.089539;-1.934399;4.779413;14.225324;0.410547;-0.066039;0.439167;-0.004255
0.052809;-0.000042;-0.000074;0.000121;0.000023;0.000121;0.000110;0.000053;-0.000039;0.000068;0.000045;-0.000070;0.000082;3.530388;32.089539;-1.934399;4.779413;15.539792;0.425701;-0.055454;0.439167;-0.004256
0.052909;-0.000013;-0.000081;0.000146;-0.000007;0.000137;0.000130;0.000030;-0.000056;0.000072;0.000039;-0.000031;0.000067;3.530388;32.093361;-1.938214;4.775599;16.842267;0.439399;-0.047433;0.439171;-0.004257
0.053009;0.000005;-0.000084;0.000164;-0.000025;0.000152;0.000151;0.000007;-0.000071;0.000070;0.000035;-0.000009;0.000057;3.530388;32.089539;-1.938214;4.779413;17.560292;0.449023;-0.047392;0.439167;-0.004257
0.053109;-0.000022;-0.000073;0.000148;0.000012;0.000154;0.000160;-0.000002;-0.000072;0.000054;0.000041;-0.000051;0.000071;3.522759;32.089539;-1.942029;4.767969;16.402723;0.446983;-0.067681;0.439173;-0.004256
0.053209;-0.000050;-0.000063;0.000130;0.000048;0.000151;0.000161;-0.000002;-0.000070;0.000041;0.000048;-0.000091;0.000087;3.522759;32.089539;-1.942029;4.771784;15.200051;0.441838;-0.087206;0.439171;-0.004256
0.053309;-0.000083;-0.000057;0.000108;0.000081;0.000141;0.000148;0.000012;-0.000059;0.000032;0.000055;-0.000127;0.000106;3.522759;32.085732;-1.938214;4.771784;13.879442;0.430389;-0.103254;0.439169;-0.004255
0.053409;-0.000114;-0.000050;0.000085;0.000113;0.000127;0.000130;0.000030;-0.000045;0.000026;0.000061;-0.000164;0.000124;3.526573;32.089539;-1.934399;4.771784;12.522844;0.414680;-0.119904;0.439171;-0.004255
0.053509;-0.000134;-0.000047;0.000070;0.000132;0.000115;0.000115;0.000046;-0.000034;0.000025;0.000066;-0.000185;0.000137;3.526573;32.089539;-1.934399;4.775599;11.926028;0.402951;-0.125766;0.439169;-0.004255
0.053609;-0.000110;-0.000059;0.000086;0.000095;0.000113;0.000106;0.000054;-0.000035;0.000039;0.000061;-0.000141;0.000127;3.526573;32.089539;-1.938214;4.775599;13.108850;0.410968;-0.092682;0.439169;-0.004256
0.053709;-0.000086;-0.000070;0.000103;0.000059;0.000113;0.000099;0.000059;-0.000037;0.000053;0.000055;-0.000098;0.000115;3.526573;32.089539;-1.934399;4.775599;14.269363;0.418345;-0.066790;0.439169;-0.004255
0.053809;-0.000060;-0.000080;0.000121;0.000023;0.000114;0.000095;0.000062;-0.000041;0.000066;0.000049;-0.000055;0.000102;3.526573;32.089539;-1.934399;4.775599;15.435449;0.425921;-0.046061;0.439169;-0.004255
0.053909;-0.000033;-0.000089;0.000140;-0.000012;0.000118;0.000093;0.000062;-0.000046;0.000077;0.000042;-0.000014;0.000089;3.530388;32.089539;-1.934399;4.775599;16.637350;0.433389;-0.029871;0.439169;-0.004256
0.054009;-0.000017;-0.000095;0.000152;-0.000034;0.000120;0.000095;0.000059;-0.000049;0.000083;0.000037;0.000011;0.000079;3.526573;32.089539;-1.934399;4.775599;17.228037;0.437129;-0.022102;0.439169;-0.004255
