#timeI (float64)[1],SendToVerticalValue__MARTE_NODE_IVO3.DataCollection.Channel_125 (float64)[1]
5.700513143680230842e-03,-6.000000000000000000e+01
5.800522146200935703e-03,-6.000000000000000000e+01
5.900531148721641431e-03,-2.000000000000000000e+02
6.000540151242348026e-03,-2.000000000000000000e+02
6.100549153763052887e-03,-2.000000000000000000e+02
6.200558156283759483e-03,-2.000000000000000000e+02
6.300567158804466078e-03,-2.000000000000000000e+02
6.400576161325170939e-03,-2.000000000000000000e+02
6.500585163845876667e-03,-2.000000000000000000e+02
6.600594166366583262e-03,-2.000000000000000000e+02
6.700603168887288123e-03,-2.000000000000000000e+02
6.800612171407993851e-03,-2.000000000000000000e+02
6.900621173928700447e-03,-2.000000000000000000e+02
7.000630176449405308e-03,-2.000000000000000000e+02
7.100639178970111036e-03,-2.000000000000000000e+02
7.200648181490816764e-03,-1.000000000000000000e+02
7.300657184011523360e-03,-1.000000000000000000e+02
7.400666186532229088e-03,-1.000000000000000000e+02
7.500675189052934816e-03,-1.000000000000000000e+02
7.600684191573640544e-03,-1.000000000000000000e+02
7.700693194094346272e-03,-1.000000000000000000e+02
7.800702196615052000e-03,-1.000000000000000000e+02
7.900711199135757729e-03,-1.000000000000000000e+02
8.000720201656463457e-03,-1.000000000000000000e+02
8.100729204177169185e-03,-1.000000000000000000e+02
8.200738206697876648e-03,-1.000000000000000000e+02
8.300747209218580641e-03,-1.000000000000000000e+02
8.400756211739286369e-03,-1.000000000000000000e+02
8.500765214259992097e-03,-1.000000000000000000e+02
8.600774216780697826e-03,-1.000000000000000000e+02
8.700783219301403554e-03,-1.000000000000000000e+02
8.800792221822111017e-03,-1.000000000000000000e+02
8.900801224342815010e-03,-1.000000000000000000e+02
9.000810226863520738e-03,-1.000000000000000000e+02
9.100819229384228201e-03,-1.000000000000000000e+02
9.200828231904932195e-03,-1.081781005859375000e+02
9.300837234425639657e-03,-1.034391021728515625e+02
9.400846236946345386e-03,-9.784474945068359375e+01
9.500855239467051114e-03,-9.312180328369140625e+01
9.600864241987755107e-03,-8.909512329101562500e+01
9.700873244508462570e-03,-8.483093261718750000e+01
9.800882247029166564e-03,-8.091509246826171875e+01
9.900891249549874026e-03,-7.715293121337890625e+01
1.000090025207058149e-02,-7.362286376953125000e+01
1.010090925459128548e-02,-7.060722351074218750e+01
1.020091825711199121e-02,-6.812451934814453125e+01
1.030092725963269694e-02,-6.596177673339843750e+01
1.040093626215340267e-02,-6.372135925292968750e+01
1.050094526467410840e-02,-6.180987930297851562e+01
1.060095426719481586e-02,-6.030093002319335938e+01
1.070096326971551985e-02,-5.898080062866210938e+01
1.080097227223622731e-02,-5.776792907714843750e+01
1.090098127475693131e-02,-5.615563964843750000e+01
1.100099027727763704e-02,-5.514030838012695312e+01
1.110099927979834276e-02,-5.467137908935546875e+01
1.120100828231905023e-02,-5.381567001342773438e+01
1.130101728483975596e-02,-5.278337097167968750e+01
1.140102628736046168e-02,-5.240333938598632812e+01
1.150103528988116568e-02,-5.176929855346679688e+01
1.160104429240187141e-02,-5.165542984008789062e+01
1.170105329492257887e-02,-5.163100814819335938e+01
1.180106229744328286e-02,-5.168283081054687500e+01
1.190107129996399032e-02,-5.159477996826171875e+01
1.200108030248469605e-02,-5.166902160644531250e+01
1.210108930500540005e-02,-5.196847915649414062e+01
1.220109830752610577e-02,-5.257683944702148438e+01
1.230110731004681324e-02,-5.305072021484375000e+01
1.240111631256751897e-02,-5.420267105102539062e+01
1.250112531508822469e-02,-5.496768951416015625e+01
1.260113431760893216e-02,-5.612094116210937500e+01
1.270114332012963441e-02,-5.738122177124023438e+01
1.280115232265034188e-02,-5.850838851928710938e+01
1.290116132517104761e-02,-5.983993911743164062e+01
1.300117032769175333e-02,-6.137512969970703125e+01
1.310117933021245906e-02,-6.321974182128906250e+01
1.320118833273316652e-02,-6.568924713134765625e+01
