#MdsTime (uint32)[1];correctedMirnov0 (float32)[1];correctedMirnov1 (float32)[1];correctedMirnov2 (float32)[1];correctedMirnov3 (float32)[1];correctedMirnov4 (float32)[1];correctedMirnov5 (float32)[1];correctedMirnov6 (float32)[1];correctedMirnov7 (float32)[1];correctedMirnov8 (float32)[1];correctedMirnov9 (float32)[1];correctedMirnov10 (float32)[1];correctedMirnov11 (float32)[1]
1800;-17431.659698;-35627.667903;-94372.034072;-138722.789764;-161819.362640;-89523.382186;-86968.154907;129108.274459;135111.176967;-14059.709548;36323.585510;12037.042379
1900;-17431.659698;-35627.667903;-94372.034072;-138722.789764;-161819.362640;-89523.382186;-86968.154907;129108.274459;135111.176967;-14059.708118;36323.585510;12037.043571
2000;-17431.659698;-35627.667903;-94372.034072;-138722.789764;-161819.362640;-89523.382186;-86968.154907;129108.274459;135111.176967;-14059.708118;36323.580741;12037.047147
2100;-17431.659698;-35627.663135;-94372.034072;-138722.789764;-161819.362640;-89523.382186;-86968.164443;129108.274459;135111.176967;-14059.708118;36323.580741;12037.048339
2200;-17431.659698;-35627.663135;-94372.034072;-138722.789764;-161819.362640;-89523.382186;-86968.164443;129108.274459;135111.176967;-14059.708118;36323.580741;12037.050724
2300;-17431.659698;-35627.663135;-94372.034072;-138722.789764;-161819.362640;-89523.382186;-86968.164443;129108.274459;135111.176967;-14059.708118;36323.578357;12037.053108
2400;-17431.659698;-35627.663135;-94372.034072;-138722.789764;-161819.362640;-89523.382186;-86968.164443;129108.274459;135111.176967;-14059.708118;36323.578357;12037.054300
2499;-17431.659698;-35627.663135;-94372.034072;-138722.789764;-161819.362640;-89523.382186;-86968.173980;129108.274459;135111.176967;-14059.705734;36323.573589;12037.056684
2599;-17431.659698;-35627.663135;-94372.034072;-138722.789764;-161819.362640;-89523.391723;-86968.173980;129108.274459;135111.176967;-14059.705734;36323.573589;12037.059068
2699;-17431.659698;-35627.663135;-94372.034072;-138722.789764;-161819.362640;-89523.391723;-86968.173980;129108.274459;135111.176967;-14059.705734;36323.573589;12037.061452
2799;-17431.659698;-35627.663135;-94372.034072;-138722.789764;-161819.362640;-89523.391723;-86968.173980;129108.274459;135111.176967;-14059.704780;36323.568820;12037.062644
2899;-17431.659698;-35627.663135;-94372.024536;-138722.789764;-161819.362640;-89523.391723;-86968.173980;129108.274459;135111.176967;-14059.704780;36323.568820;12037.065029
2999;-17431.659698;-35627.658367;-94372.024536;-138722.789764;-161819.362640;-89523.391723;-86968.173980;129108.274459;135111.176967;-14059.704780;36323.566436;12037.067413
3099;-17431.659698;-35627.658367;-94372.024536;-138722.789764;-161819.362640;-89523.391723;-86968.173980;129108.274459;135111.176967;-14059.704780;36323.566436;12037.068605
3199;-17431.659698;-35627.658367;-94372.024536;-138722.789764;-161819.362640;-89523.391723;-86968.173980;129108.274459;135111.176967;-14059.703350;36323.566436;12037.072181
3299;-17431.659698;-35627.658367;-94372.024536;-138722.789764;-161819.362640;-89523.391723;-86968.183517;129108.285903;135111.176967;-14059.703350;36323.566436;12037.073373
3399;-17431.659698;-35627.658367;-94372.024536;-138722.789764;-161819.362640;-89523.391723;-86968.183517;129108.285903;135111.176967;-14059.703350;36323.566436;12037.074565
3499;-17431.659698;-35627.658367;-94372.024536;-138722.789764;-161819.362640;-89523.391723;-86968.183517;129108.285903;135111.176967;-14059.701919;36323.566436;12037.078142
3599;-17431.659698;-35627.658367;-94372.024536;-138722.789764;-161819.362640;-89523.391723;-86968.193054;129108.285903;135111.176967;-14059.701919;36323.561668;12037.079334
3699;-17431.659698;-35627.658367;-94372.024536;-138722.789764;-161819.362640;-89523.391723;-86968.193054;129108.285903;135111.176967;-14059.701919;36323.561668;12037.081718
3799;-17431.659698;-35627.655982;-94372.024536;-138722.789764;-161819.362640;-89523.391723;-86968.193054;129108.285903;135111.176967;-14059.700965;36323.556900;12037.084102
